Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Delta_temp,Machine failure
297.7,309.1,1435,38.8,165,11.400000000000034,0
299.3,310.6,1457,42.1,104,11.300000000000011,0
296.6,307.4,1333,50.2,177,10.799999999999955,0
298.4,309.4,1392,50.1,117,11.0,0
300.1,309.5,1660,32.7,57,9.399999999999977,0
298.5,309.6,1462,45.1,115,11.100000000000023,0
303.8,312.6,1684,29.3,167,8.800000000000011,0
297.5,309.4,1357,50.1,137,11.899999999999977,0
300.3,311.9,1609,34.0,177,11.599999999999966,0
301.0,310.9,1809,25.7,192,9.899999999999977,0
300.9,311.0,1432,48.1,59,10.100000000000023,0
295.9,306.6,1678,26.7,53,10.700000000000045,0
299.7,310.3,1462,40.4,19,10.600000000000023,0
301.4,310.8,1738,30.3,104,9.400000000000034,0
303.6,312.6,1540,39.8,21,9.0,0
299.6,310.1,1646,29.6,73,10.5,0
299.7,309.3,1434,38.5,127,9.600000000000023,0
296.3,307.3,1567,31.4,5,11.0,0
298.9,308.7,1438,51.7,64,9.800000000000011,0
299.5,309.3,1422,49.2,179,9.800000000000011,0
301.8,310.6,1650,31.9,126,8.800000000000011,0
299.0,308.3,1377,47.2,35,9.300000000000011,0
301.7,310.9,1636,31.3,42,9.199999999999989,0
301.3,311.3,1434,49.8,16,10.0,0
298.2,309.0,1723,26.6,168,10.800000000000011,0
298.6,309.0,1481,40.8,6,10.399999999999977,0
297.4,309.2,1428,38.8,26,11.800000000000011,0
300.6,310.5,1509,43.1,31,9.899999999999977,0
298.3,307.9,1435,39.9,143,9.599999999999966,0
298.2,308.5,2678,10.7,86,10.300000000000011,1
297.6,309.0,1354,55.6,46,11.399999999999977,0
298.1,308.0,1704,30.9,61,9.899999999999977,0
299.7,309.2,1346,57.4,138,9.5,0
296.2,307.2,1389,48.6,7,11.0,0
297.5,308.9,1466,43.0,15,11.399999999999977,0
300.5,310.4,1702,33.1,71,9.899999999999977,0
299.4,308.9,1583,34.1,176,9.5,0
300.8,312.4,1825,23.8,127,11.599999999999966,0
302.9,312.3,1435,47.7,173,9.400000000000034,0
298.8,309.6,1309,57.4,185,10.800000000000011,0
303.7,313.0,1694,28.0,44,9.300000000000011,0
301.4,310.7,1428,53.7,176,9.300000000000011,0
299.5,310.9,1378,48.7,119,11.399999999999977,0
297.3,308.1,1370,58.8,199,10.800000000000011,0
298.0,307.6,1385,45.0,158,9.600000000000023,0
300.7,311.0,1312,52.1,107,10.300000000000011,0
298.3,308.3,1597,32.4,69,10.0,0
301.4,311.0,1234,55.8,152,9.600000000000023,0
302.3,310.1,1731,33.4,112,7.800000000000011,0
301.5,310.7,1454,39.4,17,9.199999999999989,0
299.3,308.9,1577,34.9,160,9.599999999999966,0
299.0,308.8,1495,38.4,75,9.800000000000011,0
301.9,310.6,1610,33.4,87,8.700000000000045,0
298.5,309.7,2617,12.1,102,11.199999999999989,1
303.3,311.4,1658,30.5,7,8.099999999999966,0
303.3,312.6,1482,44.4,73,9.300000000000011,0
302.1,310.9,1658,30.3,186,8.799999999999955,0
298.0,309.4,1490,40.5,53,11.399999999999977,0
303.7,312.9,1461,50.1,31,9.199999999999989,0
297.7,308.7,1731,28.4,104,11.0,0
303.4,311.7,1991,19.0,53,8.300000000000011,0
299.3,309.1,1531,37.9,127,9.800000000000011,0
298.6,308.3,1589,34.1,174,9.699999999999989,0
297.4,308.2,1585,46.2,37,10.800000000000011,0
300.5,311.0,2074,18.9,9,10.5,0
301.6,310.8,1290,65.3,63,9.199999999999989,0
302.1,311.0,1586,35.1,142,8.899999999999977,0
300.3,311.4,1471,37.0,114,11.099999999999966,0
300.0,309.7,1529,42.4,107,9.699999999999989,0
296.8,307.8,1480,39.4,122,11.0,0
299.1,308.8,1566,46.6,192,9.699999999999989,0
297.4,308.8,1462,49.7,132,11.400000000000034,0
302.4,311.8,1543,31.1,96,9.400000000000034,0
298.8,310.2,1663,30.4,209,11.399999999999977,0
298.1,307.8,1569,31.2,131,9.699999999999989,0
301.8,311.1,1543,36.4,120,9.300000000000011,0
298.9,310.0,1564,33.8,183,11.100000000000023,0
300.4,309.7,1685,32.3,167,9.300000000000011,0
300.5,311.9,1710,28.4,158,11.399999999999977,0
302.4,311.4,1475,45.2,46,9.0,0
298.1,307.8,1384,43.7,200,9.699999999999989,0
303.6,312.4,2232,16.8,0,8.799999999999955,0
302.3,311.7,1639,36.6,121,9.399999999999977,0
302.2,311.0,1555,34.2,185,8.800000000000011,0
302.5,312.0,1495,38.8,186,9.5,0
300.4,311.8,1362,47.6,188,11.400000000000034,0
297.5,308.4,1440,35.9,13,10.899999999999977,0
302.6,310.4,1451,43.1,35,7.7999999999999545,0
